Kigezruk Creek|stream|SRID=4269;POINT(-167.74056 65.50889)
Kigigak Island|island|SRID=4269;POINT(-164.98167 60.84583)
Kigiktowk Creek|stream|SRID=4269;POINT(-164.84222 68.89472)
Kiglapak Mountains|range|SRID=4269;POINT(-161.64583 59.15417)
Kigluaik Mountains|range|SRID=4269;POINT(-165.36222 64.97639)
Kigoumiut|locale|SRID=4269;POINT(-167.12 60.23083)
Kigtsugtag Mountain|summit|SRID=4269;POINT(-161.69056 59.22861)
Kiingyak Lake|lake|SRID=4269;POINT(-156.97128 68.20717)
Kijik (historical)|populated place|SRID=4269;POINT(-154.21667 60.29111)
Kijik Lake|lake|SRID=4269;POINT(-154.327 60.30074)
Kijik Mountain|summit|SRID=4269;POINT(-154.25028 60.34444)
Kijik River|stream|SRID=4269;POINT(-154.22389 60.28722)
Kikahe River|stream|SRID=4269;POINT(-131.89472 56.64444)
Kikak Creek|stream|SRID=4269;POINT(-151.5025 69.68111)
Kikakpak Bluff|cliff|SRID=4269;POINT(-153.55111 68.97222)
Kikalrodik Hill|summit|SRID=4269;POINT(-166.84944 60.00667)
Kikartamjingia Point|cape|SRID=4269;POINT(-165.77583 60.3275)
Kikartik Rock|island|SRID=4269;POINT(-166.4853 60.3925)
Kikdooli Butte|summit|SRID=4269;POINT(-166.71444 60.05278)
Kikegtek Island|island|SRID=4269;POINT(-164.33472 59.93222)
Kikertalik Lake|lake|SRID=4269;POINT(-159.25084 58.65846)
Kikiakrorak River|stream|SRID=4269;POINT(-151.61556 69.99472)
Kikikausgruak Island|island|SRID=4269;POINT(-159.84389 70.2825)
Kikiktalik Rock|island|SRID=4269;POINT(-166.78111 60.29889)
Kikiktat Mountain|summit|SRID=4269;POINT(-154.27722 68.4)
Kikiktat Mountain|summit|SRID=4269;POINT(-144.62833 69.42694)
Kikikyak Hill|summit|SRID=4269;POINT(-166.53083 60.14056)
Kikitaliorak Lake|lake|SRID=4269;POINT(-156.23821 68.12483)
Kikku Creek|stream|SRID=4269;POINT(-161.90444 59.72028)
Kiklukh River|stream|SRID=4269;POINT(-143.84278 59.99556)
Kiklupiklak Hills|range|SRID=4269;POINT(-161.88611 69.28306)
Kikmiktalikamiut|locale|SRID=4269;POINT(-165.91361 60.32)
Kikneak River|stream|SRID=4269;POINT(-165.30528 61.82306)
Kiknik Creek|stream|SRID=4269;POINT(-157.6925 60.95917)
Kikoligarak Creek|stream|SRID=4269;POINT(-157.70778 70.89139)
Kikolik Creek|stream|SRID=4269;POINT(-157.7675 70.87639)
Kikoojit Rocks|island|SRID=4269;POINT(-166.64944 60.33083)
Kikoyat Creek|stream|SRID=4269;POINT(-153.09889 68.32806)
Kiktak Island|island|SRID=4269;POINT(-161.43 60.89694)
Kiktoya Creek|stream|SRID=4269;POINT(-165.52361 68.06583)
Kikuktok Mountain|summit|SRID=4269;POINT(-165.78889 61.70667)
Kilbuck Mountains|range|SRID=4269;POINT(-159.88333 60.61)
Kilich Point|cape|SRID=4269;POINT(-159.86833 70.43389)
Kiliguak Creek|stream|SRID=4269;POINT(-165.70417 68.15417)
Kiligwa River|stream|SRID=4269;POINT(-158.27639 69.01083)
Kiliktagik Island|island|SRID=4269;POINT(-156.655 56.07722)
Kiliuda Bay|bay|SRID=4269;POINT(-152.98722 57.31583)
Kiliuda Rock|bar|SRID=4269;POINT(-152.88722 57.27861)
Killarney Creek|stream|SRID=4269;POINT(-150.71694 65.1)
Lake Killarney|lake|SRID=4269;POINT(-147.89889 64.87056)
Killi Creek|stream|SRID=4269;POINT(-157.83639 70.8625)
